['OPERATOR/WELLBORE'],['']
['WELLBORE STATUS'],['OPEN']
['LAST PERMIT ISSUED'],['724015']
['LAST PERMIT OPERATOR NUMBER'],['036047']
['LAST PERMIT OPERATOR'],['ATHLON ENERGY OPERATING LLC']
['LAST PERMIT LEASE NAME'],"[""WOODY '36'""]"
['TOTAL DEPTH'],['11508']
['SURFACE LOCATION'],['Land']
['ABSTRACT'],['']
['SURVEY'],['']
['BLOCK'],['']
['SECTION'],['']
['DISTANCE 1'],['']
['DIRECTION 1'],['']
['DISTANCE 2'],['']
['DIRECTION 2'],['']
[''],['Oil/Gas Imaged Records for API:31737179']
['COMPLETION RECORD'],['']
['PRORATION SCHEDULE'],['OIL']
['DISTRICT'],['08']
['LEASE/ID'],['35729']
['OPERATOR NUMBER'],['251691']
['OPERATOR'],['ENCANA OIL & GAS(USA) INC.']
['LEASE NAME'],"['WOODY ""36""']"
['FIELD'],['SPRABERRY (TREND AREA)']
['WELL NUMBER'],['   4  ']
['TYPE WELL'],['PRODUCING']
['ON SCHEDULE'],['YES']
[''],['production data query(pdq)']
