['OPERATOR/WELLBORE'],['']
['WELLBORE STATUS'],['OPEN']
['LAST PERMIT ISSUED'],['624412']
['LAST PERMIT OPERATOR NUMBER'],['251726']
['LAST PERMIT OPERATOR'],['ENDEAVOR ENERGY RESOURCES L.P.']
['LAST PERMIT LEASE NAME'],"[""WOODY '36'""]"
['TOTAL DEPTH'],['11117']
['SURFACE LOCATION'],['Land']
['ABSTRACT'],['911']
['SURVEY'],"['T&P RR CO/TOM, M']"
['BLOCK'],['37 T2N']
['SECTION'],['36']
['DISTANCE 1'],['1980']
['DIRECTION 1'],['NW']
['DISTANCE 2'],['1980']
['DIRECTION 2'],['SW']
[''],['Oil/Gas Imaged Records for API:31734736']
['COMPLETION RECORD'],['']
['PRORATION SCHEDULE'],['OIL']
['DISTRICT'],['08']
['LEASE/ID'],['38582']
['OPERATOR NUMBER'],['251726']
['OPERATOR'],['ENDEAVOR ENERGY RESOURCES L.P.']
['LEASE NAME'],"['JOHNCAL WOODY ""36""']"
['FIELD'],['SPRABERRY (TREND AREA)']
['WELL NUMBER'],['   2  ']
['TYPE WELL'],['PRODUCING']
['ON SCHEDULE'],['YES']
[''],['production data query(pdq)']
