Result #1,
API,31734714
GIS WELL NUMBER,1
GIS SYMBOL DESCRIPTION,Oil Well
GIS LOCATION SOURCE,Operator reported location - Distances and Plat
GIS LAT (NAD27),3401446.340223
GIS LONG (NAD27),2386383.458333
GIS LAT (NAD83),32.257470
GIS LONG (NAD83),-101.989257
,Well Logs
OPERATOR/WELLBORE,
WELLBORE STATUS,OPEN
LAST PERMIT ISSUED,621979
LAST PERMIT OPERATOR NUMBER,251726
LAST PERMIT OPERATOR,ENDEAVOR ENERGY RESOURCES L.P.
LAST PERMIT LEASE NAME,WOODY '36'
TOTAL DEPTH,11098
SURFACE LOCATION,Land
ABSTRACT,
SURVEY,
BLOCK,
SECTION,
DISTANCE 1,
DIRECTION 1,
DISTANCE 2,
DIRECTION 2,
,Oil/Gas Imaged Records for API:31734714
COMPLETION RECORD,
PRORATION SCHEDULE,OIL
DISTRICT,08
LEASE/ID,38582
OPERATOR NUMBER,251726
OPERATOR,ENDEAVOR ENERGY RESOURCES L.P.
LEASE NAME,"JOHNCAL WOODY ""36"""
FIELD,SPRABERRY (TREND AREA)
WELL NUMBER,   1  
TYPE WELL,PRODUCING
ON SCHEDULE,YES
,production data query(pdq)
