Result #1,
API,31734158
GIS WELL NUMBER,1
GIS SYMBOL DESCRIPTION,Plugged Oil Well
GIS LOCATION SOURCE,Operator reported location - Distances and Plat
GIS LAT (NAD27),32.257789
GIS LONG (NAD27),-102.003085
GIS LAT (NAD83),32.257905
GIS LONG (NAD83),-102.003503
,Well Logs
OPERATOR/WELLBORE,
WELLBORE STATUS,PLUG
LAST PERMIT ISSUED,472574
LAST PERMIT OPERATOR NUMBER,843265
LAST PERMIT OPERATOR,TERRACE PETROLEUM CORPORATION
LAST PERMIT LEASE NAME,"WOODY ""36"""
TOTAL DEPTH,9500
SURFACE LOCATION,Land
ABSTRACT,911
SURVEY,T&P RR CO/M. TOM
BLOCK,"37, T2N"
SECTION,36
DISTANCE 1,660
DIRECTION 1,N
DISTANCE 2,660
DIRECTION 2,W
,Oil/Gas Imaged Records for API:31734158
COMPLETION RECORD,
PRORATION SCHEDULE,OIL
DISTRICT,08
LEASE/ID,35729
OPERATOR NUMBER,251691
OPERATOR,ENCANA OIL & GAS(USA) INC.
LEASE NAME,"WOODY ""36"""
FIELD,SPRABERRY (TREND AREA)
WELL NUMBER,   1  
TYPE WELL,HISTORY
ON SCHEDULE,NO
,production data query(pdq)
,PLUGGING RECORD
DATE PLUGGED,02/10/2004
PLUG DEPTH,9500
PLUGGING OPERATOR,
PLUGGED LEASE,
