Result #1,
API,31734938
GIS WELL NUMBER,3
GIS SYMBOL DESCRIPTION,Oil Well
GIS LOCATION SOURCE,Coordinates - Operator reported
GIS LAT (NAD27),32.263410
GIS LONG (NAD27),-101.995241
GIS LAT (NAD83),32.263525
GIS LONG (NAD83),-101.995659
,Well Logs
OPERATOR/WELLBORE,
WELLBORE STATUS,OPEN
LAST PERMIT ISSUED,639722
LAST PERMIT OPERATOR NUMBER,665748
LAST PERMIT OPERATOR,"PIONEER NATURAL RES. USA, INC."
LAST PERMIT LEASE NAME,"LOUDER ""33"""
TOTAL DEPTH,10598
SURFACE LOCATION,Land
ABSTRACT,
SURVEY,
BLOCK,
SECTION,
DISTANCE 1,
DIRECTION 1,
DISTANCE 2,
DIRECTION 2,
,Oil/Gas Imaged Records for API:31734938
COMPLETION RECORD,
PRORATION SCHEDULE,OIL
DISTRICT,08
LEASE/ID,38465
OPERATOR NUMBER,665748
OPERATOR,"PIONEER NATURAL RES. USA, INC."
LEASE NAME,"LOUDER ""33"""
FIELD,SPRABERRY (TREND AREA)
WELL NUMBER,   3  
TYPE WELL,PRODUCING
ON SCHEDULE,YES
,production data query(pdq)
