['OPERATOR/WELLBORE'],['']
['WELLBORE STATUS'],['PLUG']
['LAST PERMIT ISSUED'],['']
['LAST PERMIT OPERATOR NUMBER'],['']
['LAST PERMIT OPERATOR'],['']
['LAST PERMIT LEASE NAME'],['']
['TOTAL DEPTH'],['9275']
['SURFACE LOCATION'],['Land']
['ABSTRACT'],['']
['SURVEY'],['']
['BLOCK'],['']
['SECTION'],['']
['DISTANCE 1'],['']
['DIRECTION 1'],['']
['DISTANCE 2'],['']
['DIRECTION 2'],['']
[''],['Oil/Gas Imaged Records for API:31730322']
['COMPLETION RECORD'],['']
['PRORATION SCHEDULE'],['OIL']
['DISTRICT'],['08']
['LEASE/ID'],['21893']
['OPERATOR NUMBER'],['640892']
['OPERATOR'],['PARKER & PARSLEY PETROLEUM CO.']
['LEASE NAME'],['WOODY -F-']
['FIELD'],['SPRABERRY (TREND AREA)']
['WELL NUMBER'],['   2  ']
['TYPE WELL'],['HISTORY']
['ON SCHEDULE'],['NO']
[''],['production data query(pdq)']
[''],['PLUGGING RECORD']
['DATE PLUGGED'],['05/05/1990']
['PLUG DEPTH'],['9275']
['PLUGGING OPERATOR'],['']
['PLUGGED LEASE'],['']
