['OPERATOR/WELLBORE'],['']
['WELLBORE STATUS'],['PLUG']
['LAST PERMIT ISSUED'],['472575']
['LAST PERMIT OPERATOR NUMBER'],['843265']
['LAST PERMIT OPERATOR'],['TERRACE PETROLEUM CORPORATION']
['LAST PERMIT LEASE NAME'],"['WOODY ""36""']"
['TOTAL DEPTH'],['9500']
['SURFACE LOCATION'],['Land']
['ABSTRACT'],['911']
['SURVEY'],['T&P RR CO/M. TOM']
['BLOCK'],"['37, T2N']"
['SECTION'],['36']
['DISTANCE 1'],['660']
['DIRECTION 1'],['W']
['DISTANCE 2'],['1980']
['DIRECTION 2'],['S']
[''],['Oil/Gas Imaged Records for API:31734159']
['COMPLETION RECORD'],['']
['PRORATION SCHEDULE'],['OIL']
['DISTRICT'],['08']
['LEASE/ID'],['35729']
['OPERATOR NUMBER'],['251691']
['OPERATOR'],['ENCANA OIL & GAS(USA) INC.']
['LEASE NAME'],"['WOODY ""36""']"
['FIELD'],['SPRABERRY (TREND AREA)']
['WELL NUMBER'],['   2  ']
['TYPE WELL'],['HISTORY']
['ON SCHEDULE'],['NO']
[''],['production data query(pdq)']
[''],['PLUGGING RECORD']
['DATE PLUGGED'],['08/18/2017']
['PLUG DEPTH'],['9500']
['PLUGGING OPERATOR'],['']
['PLUGGED LEASE'],['']
