['OPERATOR/WELLBORE'],['']
['WELLBORE STATUS'],['OPEN']
['LAST PERMIT ISSUED'],['765438']
['LAST PERMIT OPERATOR NUMBER'],['036047']
['LAST PERMIT OPERATOR'],['ATHLON ENERGY OPERATING LLC']
['LAST PERMIT LEASE NAME'],"[""WOODY '36'""]"
['TOTAL DEPTH'],['11315']
['SURFACE LOCATION'],['Land']
['ABSTRACT'],['911']
['SURVEY'],"['T&P RR CO / TOM, M']"
['BLOCK'],['37 T2N']
['SECTION'],['36']
['DISTANCE 1'],['467']
['DIRECTION 1'],['SOUTH']
['DISTANCE 2'],['2150']
['DIRECTION 2'],['EAST']
[''],['Oil/Gas Imaged Records for API:31738760']
['COMPLETION RECORD'],['']
['PRORATION SCHEDULE'],['OIL']
['DISTRICT'],['08']
['LEASE/ID'],['35729']
['OPERATOR NUMBER'],['251691']
['OPERATOR'],['ENCANA OIL & GAS(USA) INC.']
['LEASE NAME'],"['WOODY ""36""']"
['FIELD'],['SPRABERRY (TREND AREA)']
['WELL NUMBER'],['   9  ']
['TYPE WELL'],['PRODUCING']
['ON SCHEDULE'],['YES']
[''],['production data query(pdq)']
