Result #1,
API,31732100
GIS WELL NUMBER,3
GIS SYMBOL DESCRIPTION,Plugged Oil Well
GIS LOCATION SOURCE,Commission`s hardcopy map
GIS LAT (NAD27),32.256616
GIS LONG (NAD27),-101.999364
GIS LAT (NAD83),32.256732
GIS LONG (NAD83),-101.999782
,Well Logs
OPERATOR/WELLBORE,
WELLBORE STATUS,PLUG
LAST PERMIT ISSUED,061635
LAST PERMIT OPERATOR NUMBER,185980
LAST PERMIT OPERATOR,"COX, JOHN L."
LAST PERMIT LEASE NAME,"WOODY, JOHNCAL"
TOTAL DEPTH,9280
SURFACE LOCATION,Land
ABSTRACT,
SURVEY,
BLOCK,
SECTION,
DISTANCE 1,
DIRECTION 1,
DISTANCE 2,
DIRECTION 2,
,Oil/Gas Imaged Records for API:31732100
COMPLETION RECORD,
PRORATION SCHEDULE,OIL
DISTRICT,08
LEASE/ID,21893
OPERATOR NUMBER,640892
OPERATOR,PARKER & PARSLEY PETROLEUM CO.
LEASE NAME,WOODY -F-
FIELD,SPRABERRY (TREND AREA)
WELL NUMBER,   3  
TYPE WELL,HISTORY
ON SCHEDULE,NO
,production data query(pdq)
,PLUGGING RECORD
DATE PLUGGED,05/01/1990
PLUG DEPTH,9280
PLUGGING OPERATOR,
PLUGGED LEASE,
